nombreRepo,numRepoIntervalo,YAMLsEncontrados,stringBusqueda,pagBusqueda,url
DoodleScheduling/yakmv,1,12,Kubernetes_validator,1,https://api.github.com/search/repositories?q=Kubernetes_validator+created:2024-02-01..2024-02-10&page=1&per_page=100&sort=stars&order=desc
anza-xyz/validator-lab,1,0,Kubernetes_validator,1,https://api.github.com/search/repositories?q=Kubernetes_validator+created:2024-03-21..2024-03-31&page=1&per_page=100&sort=stars&order=desc
gregcusack/validator-lab-local,2,0,Kubernetes_validator,1,https://api.github.com/search/repositories?q=Kubernetes_validator+created:2024-03-21..2024-03-31&page=1&per_page=100&sort=stars&order=desc
